neighborhood_code;neighborhood_names;total_destruction
BU00340201;Centrum Almere Stad;166.0
BU00340202;Filmwijk;47.0
BU00340203;Danswijk;30.0
BU00340204;Parkwijk;43.0
BU00340205;Verzetswijk;12.0
BU00340206;Waterwijk;25.0
BU00340207;Tussen de Vaarten Noord;26.0
BU00340208;Tussen de Vaarten Zuid;54.0
BU00340209;Staatsliedenwijk;12.0
BU00340210;Kruidenwijk;38.0
BU00340211;Stedenwijk;67.0
BU00340212;Muziekwijk Noord;31.0
BU00340213;Muziekwijk Zuid;29.0
BU00340214;Literatuurwijk;28.0
BU00340215;Noorderplassen;18.0
BU00340271;Randstad;4.0
BU00340272;Markerkant;4.0
BU00340299;Overig Almere Stad;5.0
BU00340301;Centrum Almere Buiten;15.0
BU00340302;Oostvaardersbuurt;20.0
BU00340303;Seizoenenbuurt;22.0
BU00340304;Molenbuurt;29.0
BU00340305;Bouwmeesterbuurt;32.0
BU00340306;Landgoederenbuurt;18.0
BU00340307;Faunabuurt;9.0
BU00340308;Bloemenbuurt;19.0
BU00340309;Regenboogbuurt;17.0
BU00340310;Indischebuurt;19.0
BU00340311;Eilandenbuurt;17.0
BU00340312;Stripheldenbuurt;27.0
BU00340313;Sieradenbuurt;2.0
BU00340371;Poldervlak;1.0
BU00340372;De Vaart;8.0
BU00340373;Buitenvaart;0.0
BU00340399;Overig Almere Buiten;1.0
BU00340401;Europakwartier;16.0
BU00340402;Columbuskwartier;9.0
BU00340403;Homeruskwartier;22.0
BU00340405;Duin;2.0
BU00340499;Overig Almere Poort;0.0
BU00340502;Vogelhorst;0.0
BU00340503;Nobelhorst;1.0
BU00340599;Overig Almere Hout;3.0
BU04840101;Gnephoek;0.0
BU04840102;Woubrugseweg;
BU04840103;Heuvelweg;1.0
BU04840104;Weteringpark;0.0
BU04840105;Ambachtenbuurt-West;5.0
BU04840106;Ambachtenbuurt-Oost;4.0
BU04840107;Bedrijventerrein Heimanswetering;1.0
BU04840108;Stromenbuurt;9.0
BU04840109;Nuovaweg;1.0
BU04840110;Groenoord;4.0
BU04840111;De Heul;0.0
BU04840201;Ridderbuurt;0.0
BU04840202;Herenweg;8.0
BU04840203;Horstenbuurt-Noord;4.0
BU04840204;Horstenbuurt-Zuid;1.0
BU04840205;Burgtenbuurt;4.0
BU04840206;Preludeweg;4.0
BU04840207;Componistenbuurt-Noord;3.0
BU04840208;Componistenbuurt-Zuid;3.0
BU04840209;Rijnoord;1.0
BU04840210;Planetenbuurt-Noord;16.0
BU04840211;Planetenbuurt-Zuid;7.0
BU04840301;Steinenbuurt;5.0
BU04840302;Paddestoelenbuurt;3.0
BU04840303;Ericapark;6.0
BU04840304;Weidebloemenbuurt-Noord;2.0
BU04840305;Weidebloemenbuurt-Zuid;5.0
BU04840306;Edelstenenbuurt;17.0
BU04840307;Kromme Aar;1.0
BU04840401;Bedrijventerrein Rijnhaven-West;5.0
BU04840402;Bedrijventerrein Rijnhaven-Oost;11.0
BU04840403;Zeeheldenbuurt;11.0
BU04840404;Bomenbuurt;0.0
BU04840405;Bospark;5.0
BU04840501;Emmalaan;13.0
BU04840502;Burgemeester Visserpark;12.0
BU04840503;Paradijslaan;30.0
BU04840504;Hazeveld;14.0
BU04840505;Gouwsluis;2.0
BU04840506;Bedrijventerrein De Schans I;1.0
BU04840601;Nieuwe Sloot;13.0
BU04840602;Lijsterlaan;10.0
BU04840603;Van Boetzelaerstraat;16.0
BU04840604;Beerendrecht;9.0
BU04840701;Steekterbuurt;0.0
BU04840702;Hoogendoornlaan;0.0
BU04840801;Bedrijventerrein Molenwetering;1.0
BU04840802;Europaplein;8.0
BU04840803;Evenaar-West;1.0
BU04840804;De Oude Wereld-West;4.0
BU04840805;De Oude Wereld-Oost;2.0
BU04840806;Evenaar-Oost;2.0
BU04840807;Zefierzijde;3.0
BU04840808;Vroonhoevebuurt;2.0
BU04840809;Archeon;5.0
BU04840810;Polderpeil-West;5.0
BU04840811;Polderpeil-Oost;1.0
BU04840813;Wagenburg;0.0
BU04840901;Rietveldsepad;
BU04843101;Noordpolder;1.0
BU04843102;Benthuizen Dorp-West;0.0
BU04843103;Benthuizen Dorp-Oost;9.0
BU04843104;Bentwoud;5.0
BU04844501;Noordeinde;2.0
BU04844502;Hoge Dijk;0.0
BU04844503;Aarlanderveen Dorp;1.0
BU04844504;Zuideinde;0.0
BU04847001;Nesse;1.0
BU04847002;Rijneveld-Noord;0.0
BU04847003;Rijneveld-Zuid;1.0
BU04847004;Laag Boskoop;1.0
BU04847005;Draaistok;16.0
BU04847006;Biezen-West;7.0
BU04847007;Biezen-Oost;1.0
BU04847008;Zonnedauw;3.0
BU04847009;Snijdelwijk;13.0
BU04847010;Vogelbuurt;0.0
BU04847011;Voorofschebuurt;13.0
BU04847012;Appelbuurt;3.0
BU04847013;Botanicusbuurt;5.0
BU04847014;Zuidwijk;1.0
BU04847015;Spoelwijk;0.0
BU04847101;Zwammerdam Dorp;4.0
BU04847102;Hooge Burch;1.0
BU04847103;De Burcht;1.0
BU04849101;Buitengebied Hazerswoude-Dorp;10.0
BU04849102;Rietveldse polder;0.0
BU04849103;Hazerswoude-Dorp-West;2.0
BU04849104;Hazerswoude-Dorp-Oost;3.0
BU04849105;Voorweg;1.0
BU04849401;Rijndijk;2.0
BU04849402;Rhynenburch;2.0
BU04849403;Zonneveld;5.0
