neighborhood_code;neighborhood_names;total_destruction
BU04053004;Zwaag - Buurt 30 04;1.0
BU04053005;Zwaag - Buurt 30 05;1.0
BU04053006;Zwaag - Buurt 30 06;1.0
BU04053100;Blokker - Buurt 31 00;
BU04053101;Blokker - Buurt 31 01;1.0
BU04053102;Blokker - Buurt 31 02;
BU04053103;Blokker - Buurt 31 03;3.0
BU04053104;Blokker - Buurt 31 04;5.0
BU04053200;Kersenboogerd-Noord - Buurt 32 00;4.0
BU04053201;Kersenboogerd-Noord - Buurt 32 01;12.0
BU04053202;Kersenboogerd-Noord - Buurt 32 02;8.0
BU04053203;Kersenboogerd-Noord - Buurt 32 03;4.0
BU04053300;Kersenboogerd-Zuid - Buurt 33 00;29.0
BU04053301;Kersenboogerd-Zuid - Buurt 33 01;19.0
BU04053302;Kersenboogerd-Zuid - Buurt 33 02;6.0
BU04053303;Kersenboogerd-Zuid - Buurt 33 03;16.0
BU04053304;Kersenboogerd-Zuid - Buurt 33 04;7.0
BU04053305;Kersenboogerd-Zuid - Buurt 33 05;11.0
BU04053306;Kersenboogerd-Zuid - Buurt 33 06;14.0
BU04053307;Kersenboogerd-Zuid - Buurt 33 07;6.0
BU04053308;Kersenboogerd-Zuid - Buurt 33 08;4.0
BU04053402;Hoorn 80 - Buurt 34 02;0.0
BU04053501;Bangert en Oosterpolder - Buurt 35 01;4.0
BU04053502;Bangert en Oosterpolder - Buurt 35 02;4.0
BU04053503;Bangert en Oosterpolder - Buurt 35 03;3.0
BU04053504;Bangert en Oosterpolder - Buurt 35 04;2.0
BU04053505;Bangert en Oosterpolder - Buurt 35 05;0.0
BU04053506;Bangert en Oosterpolder - Buurt 35 06;0.0
BU15070000;Griendtsveen;0.0
BU15070009;Verspreide huizen Griendtsveen;
BU15070100;America;1.0
BU15070101;Meerdal;3.0
BU15070102;Loohorst;1.0
BU15070109;Verspreide huizen America;0.0
BU15070200;Meterik;0.0
BU15070209;Verspreide huizen Meterik;1.0
BU15070300;Hegelsom;3.0
BU15070309;Verspreide huizen Hegelsom;3.0
BU15070400;Horst-Centrum;23.0
BU15070401;Molenveld;6.0
BU15070402;De Riet;2.0
BU15070403;Weisterbeek;4.0
BU15070404;Nieuwstraat;0.0
BU15070405;Kapellerhof;0.0
BU15070406;Berkelsbroek;2.0
BU15070407;Stuksbeemden;9.0
BU15070408;De Risselt;1.0
BU15070409;De Afhang;1.0
BU15070410;Hoogveld;0.0
BU15070419;Verspreide huizen Horst;3.0
BU15070500;Melderslo;1.0
BU15070509;Verspreide huizen Melderslo;0.0
BU15070600;Broekhuizenvorst;0.0
BU15070609;Verspreide huizen Broekhuizenvorst;2.0
BU15070700;Lottum;4.0
BU15070709;Verspreide huizen Lottum;0.0
BU15070800;Grubbenvorst-Centrum;10.0
BU15070801;De Comert;2.0
BU15070802;'t Reuvelt;4.0
BU15070803;Middelreuvelt;2.0
BU15070804;Tuinhaversveld;4.0
BU15070809;Verspreide huizen Grubbenvorst;5.0
BU15070900;Broekhuizen;1.0
BU15070909;Verspreide huizen Broekhuizen;0.0
BU15071000;Sevenum;6.0
BU15071001;De Schatberg;
BU15071009;Verspreide huizen Sevenum;13.0
BU15071100;Kronenberg;2.0
BU15071109;Verspreide huizen Kronenberg;1.0
BU15071200;Everstoord;0.0
BU15071209;Verspreide huizen Eversoord;0.0
BU15071300;Meerlo;1.0
BU15071309;Verspreide huizen Meerlo;1.0
BU15071400;Tienray;0.0
BU15071409;Verspreide huizen Tienray;1.0
BU15071500;Swolgen;2.0
BU15071509;Verspreide huizen Swolgen;1.0
BU03211010;Oude Dorp;6.0
BU03211011;Oorden;6.0
BU03211012;Hoven;3.0
BU03211013;Gaarden;11.0
BU03211014;Hoeven;5.0
BU03211015;Erven;1.0
BU03211016;Poorten;6.0
BU03211017;Slagen;10.0
BU03211018;Borchen;3.0
BU03211019;Campen;4.0
BU03211120;Centrum West;2.0
BU03211121;Centrum Oost;19.0
BU03211122;Molens;11.0
BU03211123;Hagen;1.0
BU03211124;weiden;4.0
BU03211125;Gilden;5.0
BU03211126;velden;3.0
BU03211127;Sloten;0.0
BU03211128;Bermen;1.0
BU03211129;Akkers;2.0
BU03211230;Bouwen;5.0
BU03211231;Houten;0.0
BU03211232;Waters;0.0
BU03211233;Polders;6.0
BU03211234;Stenen;3.0
BU03211235;muren;2.0
BU03211236;Castellum West;6.0
BU03211237;Castellum Oost;2.0
BU03211238;Schaften;1.0
BU03211340;Landen;3.0
BU03211341;Tuinen;1.0
BU03211342;Sporen;1.0
BU03211343;Meren;2.0
BU03211344;Mossen;4.0
BU03211345;Grassen;10.0
BU03212055;Kaden;1.0
BU03212061;Bruggen;2.0
BU03212062;Bogen;2.0
BU03212063;De Poel;0.0
BU03212064;Buitengebied Houten West;2.0
BU03212065;Buitengebied Houten Oost;1.0
BU03213070;Dorp 't Goy;1.0
BU03213071;'t Goysedorp;0.0
BU03213172;Buitengebied 't Goy;1.0
BU03214080;'t Waal;0.0
BU03214081;Tull;
BU03214182;Buitengebied Tull en 't Waal;0.0
BU03215090;Dorp Schalkwijk West;2.0
BU03215091;Dorp Schalkwijk Oost;1.0
BU03215192;Buitengebied Schalkwijk West;1.0
BU03215193;Buitengebied Schalkwijk Oost;0.0
BU04060001;De Noord;25.0
BU04060002;De Zuid;13.0
BU04060103;Westereng;11.0
BU04060204;Flevo;0.0
BU04060205;Bikbergen;0.0
BU04060206;Crailo;4.0
BU04060307;Thames;1.0
BU04060308;IJzeren veld;1.0
BU04060327;Parrewijn;0.0
BU04060328;Tafelberger Heide;
BU04060329;Rijsbergen;1.0
BU04060330;Huizerhoogt;1.0
BU04060409;Sijsjesberg;0.0
BU04060410;Zuidereng;2.0
BU04060511;Gooierhoofd;9.0
BU04060512;Wolfskamer;0.0
BU04060513;Industriewijk 't Plaveen;13.0
BU04060614;Bovenweg;18.0
BU04060615;Zenderwijk;16.0
BU04060716;Stad en Lande;39.0
BU04060817;Huizermaat West;25.0
BU04060818;Huizermaat Zuid;30.0
BU04060919;Huizermaat Noord;23.0
BU04061020;Bijvanck Noord;2.0
BU04061021;Bijvanck West;2.0
BU04061123;Bovenmaat Noord;17.0
BU04061124;Bovenmaat West;12.0
BU04061125;Bovenmaat-Oost;9.0
BU04061226;Filosofenbuurt;6.0
BU04061231;De Tuit;0.0
BU06770101;Hulst;29.0
BU06770102;Linie;9.0
BU06770103;'t Jagertje-Schuddebeurs;0.0
BU06770104;Carmel;0.0
BU06770105;Dullaert;8.0
BU06770106;Absdaalseweg;3.0
BU06770107;Hogeweg;0.0
BU06770108;Zoetevaart;6.0
BU06770109;Groote Kreek;3.0
BU06770110;Absdale;0.0
BU06770112;Buitengebied Hulst;4.0
BU06770213;Kern Sint Jansteen;7.0
BU06770214;Buitengebied Sint Jansteen;1.0
BU06770315;Kern Clinge;3.0
BU06770316;Buitengebied Clinge;
BU06770417;Kern Graauw;0.0
BU06770418;Kern Zandberg;
BU06770419;Kern Paal;0.0
BU06770420;Buitengebied Graauw;0.0
BU06770521;Kern Heikant;3.0
BU06770522;Buitengebied Heikant;0.0
BU06770623;Kern Nieuw Namen;0.0
BU06770624;Buitengebied Nieuw Namen;0.0
BU06770725;Kern Kapellebrug;2.0
BU06770826;Kern Kloosterzande;13.0
BU06770827;Walsoorden;
BU06770828;Buitengebied Kloosterzande;0.0
BU06770929;Kern Lamswaarde;1.0
BU06770930;Kuitaart;0.0
BU06770931;Buitengebied Lamswaarde;0.0
BU06770932;Kruispolder;0.0
BU06771033;Kern Terhole;0.0
BU06771034;Buitengebied Terhole;1.0
BU06771135;Kern Vogelwaarde;6.0
BU06771136;Buitengebied Vogelwaarde;1.0
BU06771237;Kern Hengstdijk;0.0
BU06771238;Buitengebied Hengstdijk;1.0
BU06771339;Kern Ossenisse;
BU06771340;Buitengebied Ossenisse;0.0
BU03530001;IJsselstein-Binnenstad;16.0
BU03530002;Nieuwpoort;8.0
BU03530003;Groenvliet;6.0
BU03530004;Kasteelkwartier;3.0
BU03530005;Europakwartier;10.0
BU03530006;Oranjekwartier;3.0
BU03530007;IJsselveld-Oost;18.0
BU03530008;IJsselveld-West;13.0
BU03530009;IJsseloevers;0.0
BU03530010;Hazenveld en Overwaard;4.0
BU03530011;Rijpickerwaard;0.0
BU03530012;Panoven;1.0
BU03530013;Paardenveld;5.0
BU03530014;Over Oudland;2.0
BU03530015;Industrieterrein Lage Dijk;3.0
BU03530016;Bedrijventerrein De Corridor;1.0
BU03530017;De Hoven en De Boomgaard;3.0
BU03530018;De Tuinen;4.0
BU03530019;Het Hart;6.0
BU03530020;De Wereldsteden;1.0
BU03530021;De Rivieren;0.0
BU03530022;Het Staatse;4.0
BU03530023;Benschopperpoort en Het Podium;5.0
BU03530024;Achterveld-Zuid;2.0
BU03530025;Achterveld-West;15.0
BU03530026;Achterveld-Noord;6.0
BU03530027;Achterveld-Oost;3.0
BU03530028;Eiterse Waard;0.0
BU03530029;Landelijk gebied Noord;3.0
BU03530030;Landelijk gebied Zuid;2.0
BU18840000;Roelofarendsveen;8.0
BU18840001;Oude Wetering;10.0
BU18840002;Roelofarendsveen-Noord;13.0
BU18840003;Burgemeesterswijk;16.0
BU18840004;Tuinbouwgebied;3.0
BU18840101;Nieuwe Wetering;1.0
BU18840102;Rijpwetering;4.0
BU18840104;Oud Ade en Zevenhuizen;2.0
BU18840105;Kaag;5.0
BU18840107;Verspreide huizen Veenderpolder;1.0
BU18840109;Overige verspreide huizen;7.0
BU18840200;Woubrugge;4.0
BU18840201;Ofwegen;0.0
BU18840202;Hoogmade;0.0
BU18840203;Woubrugge-West;6.0
BU18840207;Verspreide huizen Vierambachtspolder;1.0
BU18840208;Verspreide huizen Oudendijkse polder;0.0
BU18840209;Overige verspreide huizen;0.0
BU18840300;Rijnsaterwoude;5.0
BU18840309;Verspreide huizen Rijnsaterwoude;0.0
BU18840400;Leimuiden;6.0
BU18840402;Vriezekoop;2.0
BU18840404;Bilderdam;0.0
BU18840405;Uitbreiding West;6.0
BU18840407;Verspreide huizen Vriezekoopse polder;0.0
BU18840408;Verspreide huizen West;6.0
BU18840409;Verspreide huizen Oost;0.0
BU01660000;Binnenstad Kampen;62.0
BU01660001;Brunnepe;16.0
BU01660002;Groene Hart;2.0
BU01660003;Hanzewijk en Greente;6.0
BU01660004;Kampen-Zuid;12.0
BU01660005;Flevowijk;11.0
BU01660006;Industrieterrein Kampen;14.0
BU01660007;Bovenbroek;2.0
BU01660008;Cellesbroek;21.0
BU01660009;Hagenbroek;10.0
BU01660010;De Maten;2.0
BU01660012;Stationsplein;3.0
BU01660013;Stationskwartier;1.0
BU01660015;Het Onderdijks;17.0
BU01660016;Polder Dronthen;3.0
BU01660017;De Melm;0.0
BU01660018;Kampereiland;2.0
BU01660019;Mandjeswaard;0.0
BU01660300;IJsselmuiden-Centrum;15.0
BU01660301;Losselanden;4.0
BU01660302;Industrieterrein IJsselmuiden;0.0
BU01660303;De Waard;4.0
BU01660304;De Koekoek;0.0
BU01660305;Oosterholt;0.0
BU01660306;Sonnenberg;0.0
BU01660307;Trekvaart;5.0
BU01660400;Zalk;0.0
BU01660401;Verspreide huizen Zalk;0.0
BU01660500;Wilsum;0.0
BU01660501;Verspreide huizen Wilsum;
BU01660600;Grafhorst;1.0
BU01660700;Kamperveen;0.0
BU01660800;'s-Heerenbroek;0.0
BU01660900;Verspreide huizen polder Mastenbroek;0.0
BU06780000;Kapelle;33.0
BU06780009;Verspreide huizen Kapelle;1.0
BU06780100;Wemeldinge;16.0
BU06780109;Verspreide huizen Wemeldinge;0.0
BU06780200;Schore;0.0
BU06780209;Verspreide huizen Schore;0.0
BU05370101;Rijnsoever-West;6.0
BU05370102;Rijnsoever-Oost;1.0
BU05370103;Hoornes-West;22.0
BU05370104;Hoornes-Oost;9.0
BU05370105;Rijnsoever-Noord;0.0
BU05370106;Rijnsoever-Midden;11.0
BU05370201;'t Heen-Zuid;3.0
BU05370202;'t Heen-Noord;0.0
BU05370301;Dorp;3.0
BU05370302;'t Sandt;0.0
BU05370303;Molenwijk;5.0
BU05370304;Cleijn Duin;2.0
BU05370305;Koestal;5.0
BU05370306;Zanderij;6.0
BU05370502;De Noord;12.0
BU05370503;Noord-Oost;1.0
BU05370504;Centrum;10.0
BU05370505;Midden;9.0
BU05370506;Zuid-West;2.0
BU05370507;Zuid;13.0
BU05370508;Zuid-Oost;3.0
BU05370509;Witte Hek;5.0
BU05370510;Overduin;6.0
BU05370601;Noordduinen;7.0
BU05370602;Zuidduinen;2.0
BU05370604;De Mient en Kooltuin;1.0
BU05370700;Centrum;2.0
BU05370701;Kleipetten;3.0
BU05370702;De Horn;3.0
BU05370703;Frederiksoord-Noord;7.0
BU05370704;Frederiksoord-Zuid;2.0
BU05370705;Centrum-Noord;5.0
BU05370706;De Hoek;7.0
BU05370707;Westerhaghe;1.0
BU05370708;Kamphuizerpolder;1.0
BU05370709;Rijnsburg-Noord;4.0
BU05370800;Dorp;3.0
BU05370801;'t Joght;1.0
BU05370802;'t Duyfrak;0.0
BU05370808;Valkenburgse Meer;3.0
BU05370809;Overige verspreide huizen Valkenburg;0.0
BU09280000;Spekholzerheide;40.0
BU09280001;Heilust;29.0
BU09280002;Terwinselen;15.0
BU09280003;Kaalheide;18.0
BU09280004;Gracht;12.0
BU09280009;Verspreide huizen Dentgenbach;4.0
BU09280100;Kerkrade-Centrum;48.0
BU09280101;Erenstein;10.0
BU09280102;Rolduckerveld;23.0
BU09280103;Holz;11.0
BU09280104;Nulland;27.0
BU09280105;Bleijerheide;26.0
BU09280200;Eygelshoven-Kom;24.0
BU09280201;Hopel;9.0
BU09280202;Waubacherveld;4.0
BU09280203;Vink;7.0
BU09280204;Chevremont;39.0
BU09280205;Haanrade;8.0
BU15980001;De Goorn;9.0
BU15980002;Berkhout;9.0
BU15980003;Bobeldijk;0.0
BU15980100;Spierdijk;6.0
BU15980200;Zuidermeer en omgeving;0.0
BU15980300;Ursem-Centrum;11.0
BU15980301;Rustenburg;2.0
BU15980308;Noorddijk en omgeving;2.0
BU15980309;Mijzer polder;0.0
BU15980400;Avenhorn;13.0
BU15980401;Scharwoude;2.0
BU15980402;Grosthuizen;2.0
BU15980500;Oudendijk;2.0
BU15980600;Obdam;22.0
BU15980608;Verspreide huizen langs Obdammerdijk;
BU15980609;Verspreide huizen in Berkmeer polder;0.0
BU15980700;Hensbroek;6.0
BU15980701;Wogmeer;0.0
BU00790000;Kollum;20.0
BU00790009;Verspreide huizen Kollum;1.0
BU00790100;Burum;0.0
BU00790101;Kollumerpomp;1.0
BU00790102;Warfstermolen;0.0
BU00790103;Munnekezijl;2.0
BU00790104;Augsbuurt;
BU00790106;Verspreide huizen Burum;0.0
BU00790107;Verspreide huizen Kollumerpomp;0.0
BU00790108;Verspreide huizen Warfstermolen;
BU00790109;Verspreide huizen Munnekezijl;0.0
BU00790200;Oudwoude;1.0
BU00790201;Triemen;0.0
BU00790202;Westergeest;2.0
BU00790208;Verspreide huizen Oudwoude;0.0
BU00790209;Verspreide huizen Westergeest;
BU00790300;Kollumerzwaag;13.0
BU00790301;Zwagerbosch;0.0
BU00790302;Veenklooster;0.0
BU00790309;Verspreide huizen Kollumerzwaag;0.0
BU05880000;Nieuw-Beijerland;6.0
BU05880001;Zuidzijde (gedeeltelijk);1.0
BU05880009;Verspreide huizen Nieuw-Beijerland;1.0
BU05880100;Piershil;8.0
BU05880103;Zwartsluisje (gedeeltelijk);
BU05880109;Verspreide huizen Piershil;3.0
BU05880200;Goudswaard;4.0
BU05880201;Nieuwendijk (gedeeltelijk);0.0
BU05880202;Oudendijk;
BU05880209;Overige verspreide huizen Goudswaard;
BU05880300;Zuid-Beijerland;8.0
BU05880301;Zwartsluisje (gedeeltelijk);0.0
BU05880302;Zuidzijde (gedeeltelijk);
BU05880303;Schenkeldijk;0.0
BU05880304;Nieuwendijk (gedeeltelijk);0.0
BU05880308;Verspr.h. Eiland Tiengemeten (ged.);0.0
BU05880309;Overige verspr.h. Zuid-Beijerland;2.0
BU05420000;Oud Krimpen;8.0
BU05420001;Kortland-Noord;18.0
BU05420002;Kortland-Zuid;19.0
BU05420003;Boveneind;15.0
BU05420004;Langeland;29.0
BU05420005;Lansingh-Zuid;4.0
BU19310000;Tiendhoek;3.0
BU19310001;Schuwacht;2.0
BU19310002;Opperduit;2.0
BU19310003;Tiendweg-West;2.0
BU19310004;Lekkerkerk-Oost;7.0
BU19310005;Prinsessenbuurt;2.0
BU19310006;Koninginnenbuurt;6.0
BU19310007;Wibautsraat en Lorentzweg;1.0
BU19310008;Molenwerf en omstreken;1.0
BU19310009;Voorstraat en Centrum;5.0
BU19310010;Industrieterrein;0.0
BU19310011;Verspr. huizen Lekkerkerk;2.0
BU19310100;Hoofdstraat;2.0
BU19310101;Binnen Krimpen;1.0
BU19310102;Beroepenbuurt;4.0
BU19310103;Krimpen-Oost;1.0
BU19310104;Zaag;0.0
BU19310105;Tiendweg Noord;5.0
BU19310106;Krimpen Centrum;2.0
BU19310107;Industrieterrein Krimpen;0.0
BU19310108;Lekdijk;1.0
BU19310109;Verspr. huizen Krimpen aan de Lek;1.0
BU19310200;Ouderkerk aan den IJssel;10.0
BU19310208;Verspr. huizen Ouderkerk Noord;0.0
BU19310209;Verspr. huizen Ouderkerk Oost;0.0
BU19310300;Gouderak;5.0
BU19310400;Bergambacht-Dorp;6.0
BU19310401;Kadijk en Kadijkselaan;0.0
BU19310402;Uitbreiding Dorp;14.0
BU19310403;Benedenberg en Zuidbroek;0.0
BU19310404;Tussenlanen;0.0
BU19310409;Bovenberg westelijk van de Fransekade;0.0
BU19310500;Bergstoep;3.0
BU19310501;Lekdijk-West en Provinciale weg (ged.);0.0
BU19310502;Lekdijk-Oost en Provinciale weg (ged.);0.0
BU19310503;Bovenstad;2.0
BU19310504;Provinciale weg (ged.) De Hem en Hogedij;0.0
BU19310600;Ammerstol;4.0
BU19310700;Berkenwoude;4.0
BU19310701;Achterbroek;1.0
BU19310800;Haastrecht-Dorpskern;1.0
BU19310801;Boven-Haastrecht;0.0
BU19310802;Beneden-Haastrecht;2.0
BU19310803;Rozendaal;0.0
BU19310804;Stolwijkersluis (ged.);0.0
BU19310805;Hofkamp;0.0
BU19310806;Agterpoort;1.0
BU19310807;Stein;0.0
BU19310808;Verspr. huizen Haastrecht Noord;0.0
BU19310809;Verspr. huizen Haastrecht Zuid;0.0
BU19310810;Bergvliet;3.0
BU19311000;Stolwijk;16.0
BU19311001;Bovenkerk;0.0
BU19311002;Benedenkerk;2.0
BU19311003;Benedenheul;0.0
BU19311004;Goudseweg;
BU19311005;Het Beijersche;0.0
BU19311006;Koolwijk;0.0
BU19311007;Schoonouwen;0.0
BU19311008;Bilwijk;1.0
BU19311100;Vlist;1.0
BU19311101;Bonrepas;0.0
BU19311200;Schoonhoven-Oude Stad;15.0
BU19311201;Schoonhoven-Noord;6.0
BU19311202;Schoonhoven-West;8.0
BU19311203;Zevender;1.0
BU19311204;Willige-Langerak;5.0
BU19311205;Vlist, Bovenberg en Lekdijk;1.0
BU16590000;Beek;18.0
BU16590001;Donk;13.0
BU16590002;Bedrijventerrein Beekerheide;1.0
BU16590003;Bedrijventerrein Bemmer;1.0
BU16590009;Verspreide huizen Beek en Donk;3.0
BU16590100;Aarle-Rixtel;20.0
BU16590101;Bedrijventerrein Torenakker;0.0
BU16590102;Bedrijventerrein Duivenakker;
BU16590108;Verspreide huizen Laar en Strijp;3.0
BU16590109;Verspreide huizen Heikant;0.0
BU16590200;Lieshout;7.0
BU16590201;Industrieterrein Bavaria;0.0
BU16590209;Verspreide huizen Lieshout;1.0
BU16590300;Mariahout;3.0
BU16590309;Verspreide huizen Mariahout;4.0
BU16850000;Schaijk;18.0
BU16850007;Verspreide huizen Schaijkse Heide;5.0
BU16850008;Verspreide huizen Mun;0.0
BU16850009;Overige verspreide huizen;0.0
BU16850100;Reek;5.0
BU16850109;Verspr.h. Reekse Heide en Bovenland;2.0
BU16850200;Zeeland;23.0
BU16850201;Nabbegat-Voederheil;1.0
BU16850202;Oventje;0.0
BU16850207;Verspreide huizen Trent-Graspeel;3.0
BU16850208;Verspreide huizen Zevenhuis;0.0
BU16850209;Verspreide huizen Duifhuis-Kreitsberg;1.0
BU16850909;Verspreide huizen Peel;0.0
BU08820001;Kakert;10.0
BU08820002;Lichtenberg;10.0
BU08820003;De Dormig;5.0
BU08820004;De Streep;11.0
BU08820005;Klinkerkwartier;1.0
BU08820006;Achter de Haesen;5.0
BU08820007;Leenhof;3.0
BU08820008;Schaesberg Centrum;23.0
BU08820009;Achter den Winkel;2.0
BU08820010;Mijnbuurt;6.0
BU08820011;Eiske;7.0
BU08820012;Heistraat;0.0
BU08820020;Gravenrode;11.0
BU08820101;Nieuwenhagerheide;22.0
BU08820102;Oud Nieuwenhagen;36.0
BU08820103;Hoefveld;2.0
BU08820104;Op de Kamp;14.0
BU08820105;Exdel;2.0
BU08820120;Buitengebied Brunssumerheide (2);0.0
BU08820201;Abdissenbosch;4.0
BU08820202;Parkheide;5.0
BU08820203;Namiddagsche Driessen;7.0
BU08820204;Lauradorp;23.0
BU08820205;Waubach;22.0
BU08820206;Groenstraat;8.0
BU08820207;Rimburg;8.0
BU08820220;Brunssumerheide (1);0.0
BU04150000;Landsmeer;7.0
BU04150001;Plan Centrum-Noord;19.0
BU04150002;Plan Centrum-Zuid;7.0
BU04150003;Plan Centrum-West;14.0
BU04150009;Verspr.h. ten oosten van Landsmeer;0.0
BU04150101;Purmerland;0.0
BU04150102;Den Ilp;2.0
BU04160000;Oudkarspel;10.0
BU04160001;Noord-Scharwoude;35.0
BU04160002;Zuid-Scharwoude;34.0
BU04160003;Broek op Langedijk;29.0
BU04160004;Laanweg en Waarddijk;2.0
BU04160005;Sint Pancras;21.0
BU04160006;Koedijk;0.0
BU16211111;Dorp Bergschenhoek;21.0
BU16211121;De Driehoek;0.0
BU16211211;Bergsche Ackers;10.0
BU16211221;Oosteindsche Ackers;7.0
BU16211231;Ackerse Zoom;2.0
BU16211311;Beemdenbuurt;9.0
BU16211321;Eilandenbuurt;2.0
BU16211331;Boterdorpse Zoom;4.0
BU16211411;Wilderszijde;1.0
BU16211514;Bergse Nos;7.0
BU16211522;Schreyracker;2.0
BU16211531;Hoeksekade;2.0
BU16211543;Weg en Land;2.0
BU16211552;Warmoeziersweg;6.0
BU16212111;Berkel Dorp;17.0
BU16212121;Parkbuurt;7.0
BU16212131;Oranjebuurt;14.0
BU16212144;Annie M.G. Schmidtpark Midden;4.0
BU16212211;Bomen- en Struikenbuurt;0.0
BU16212221;Sterrenbuurt;8.0
BU16212231;Edelsteenbuurt;0.0
BU16212241;Componistenbuurt;1.0
BU16212311;Merenbuurt;7.0
BU16212321;Rivierenbuurt;10.0
BU16212331;Havenbuurt;5.0
BU16212412;Noordeinde;0.0
BU16212511;Bloemenbuurt;2.0
BU16212521;Parc Rodenrijs;1.0
BU16212531;Vogelbuurt;0.0
BU16212541;Weidebloembuurt;2.0
BU16212611;Rodenrijse Zoom;4.0
BU16212621;Bonfut;0.0
BU16212711;Bolwerk;2.0
BU16212721;Gouden Griffelbuurt;5.0
BU16212731;Gouden Uilbuurt;4.0
BU16212741;Buurt 2741;4.0
BU16212814;Vlinderstrik;2.0
BU16212823;Spoorhaven;2.0
BU16212833;Bedrijventerrein Rodenrijs;3.0
BU16212843;Oudeland;0.0
BU16212851;Buurt 2851;3.0
BU16212864;Bergboezem;
BU16213111;Schildersbuurt;1.0
BU16213121;Zeeheldenbuurt;2.0
BU16213133;De Hoefslag;9.0
BU16213141;Oranjebuurt;7.0
BU16213162;Zeldenrust;
BU16213211;Molenbuurt;1.0
BU16213221;Sterrenbuurt;8.0
BU16213231;Bomenbuurt;3.0
BU16213242;Merenveld;0.0
BU16213251;Vogelbuurt;3.0
BU16213261;De Tuinen;0.0
BU16213312;Overbuurtse Polder;3.0
BU16213323;Klappolder;3.0
BU16213334;Rotte Zoom;2.0
BU16213344;Kruisweg;0.0
BU16213353;Prisma;1.0
BU04170320;Laren-Centrum;25.0
BU04170321;Laren-Natuurgebied;0.0
BU04170322;Omloop;8.0
BU04170323;Oostereng;6.0
BU04170324;Postiljon;1.0
BU04170325;Rijksweg-Noord;0.0
BU04170326;Rijksweg-Zuid;2.0
BU04170327;Steenbergen;0.0
BU04170328;Zevenend;13.0
BU04170329;Zwarte Berg;4.0
BU00220001;Diepswal;0.0
BU00220002;Centrum Leek en omgeving;22.0
BU00220003;Rodenburg en omgeving;18.0
BU00220004;Nienoordsrand;0.0
BU00220008;Buitengebied ten oosten van Leek;2.0
BU00220009;Buitengebied ten zuiden van Leek;0.0
BU00220100;Bebouwde kom Zevenhuizen;3.0
BU00220101;De Haspel;1.0
BU00220102;Drostinnewijk;0.0
BU00220103;Boerenstreek;0.0
BU00220107;Buitengebied ten noorden van Zevenhuizen;
BU00220108;Buitengebied ten oosten van Zevenhuizen;
BU00220109;Buitengebied ten westen van Zevenhuizen;0.0
BU00220200;Bebouwde kom Tolbert;3.0
BU00220201;Sint Maheerdt;15.0
BU00220209;Buitengebied Tolbert;1.0
BU00220400;Bebouwde kom Midwolde;0.0
BU00220401;Pasop;0.0
BU00220409;Buitengebied Midwolde;3.0
BU00220500;Bebouwde kom Lettelbert;0.0
BU00220509;Buitengebied Lettelbert;
BU00220600;Bebouwde kom Oostwold;2.0
BU00220609;Buitengebied-Oostwold;0.0
BU00220700;Bebouwde kom Enumatil;1.0
BU00220709;Buitengebied Enumatil;
BU05450001;Leerdam-Centrum;26.0
BU05450002;Leerdam-West;36.0
BU05450003;Leerdam-Oost;7.0
BU05450004;Leerdam-Noord;33.0
BU05450005;Verspreide huizen Leerdam;3.0
BU05450006;Kedichem;1.0
BU05450007;Schoonrewoerd;2.0
BU00801001;De Waag;36.0
BU00801002;Nieuwestad;64.0
BU00801003;Oldehove;17.0
BU00801004;Grote Kerkbuurt;16.0
BU00801005;Hoek;61.0
BU00801006;Blokhuisplein;13.0
BU00801007;Zaailand;28.0
BU00801008;Stationskwartier;19.0
BU00801101;Tulpenburg;10.0
BU00801102;Oranjewijk;13.0
BU00801103;Achter de Hoven;24.0
BU00801104;Schepenbuurt;3.0
BU00801105;Wielenpôlle;24.0
BU00801106;Huizum-Dorp;2.0
BU00801107;Huizum-Sixma;3.0
BU00801108;Huizum-Bornia;7.0
BU00801109;Huizum-Badweg;6.0
BU00802001;Oldegalieën;20.0
BU00802002;Bloemenbuurt;12.0
BU00802003;Cambuursterpad;28.0
BU00802004;Zamenhofpark;12.0
BU00802005;Cambuur;22.0
BU00802006;Zeeheldenbuurt;13.0
BU00802007;Indische buurt;12.0
BU00802008;Molenpad;14.0
BU00802009;Welgelegen;20.0
BU00803001;Transvaalwijk;7.0
BU00803002;Bonifatius;10.0
BU00803003;Rengerspark;3.0
BU00803004;Vogelwijk;6.0
BU00803005;Sonnenborgh;17.0
BU00803006;Valeriuskwartier;18.0
BU00803007;Magere Weide;2.0
BU00803101;Westeinde;13.0
BU00803102;Buitengebied Noordwest;0.0
BU00803201;Vossepark;44.0
BU00803202;Helicon;8.0
BU00803203;Harlingervaart Noord;4.0
BU00804001;Hollanderwijk;22.0
BU00804002;Gerard Dou;7.0
BU00804003;Julianapark;3.0
BU00804004;Jan van Scorelbuurt;11.0
BU00804101;Nijlân;26.0
BU00804102;De Zwette I Harlingervaart;6.0
BU00804103;De Zwette II Zwettehaven;2.0
BU00804105;De Zwette IV Businesspark;1.0
BU00804109;Buitengebied De Zwette;
BU00804110;Buitengebied West;
BU00805001;Heechterp;18.0
BU00805002;Schieringen;19.0
BU00805003;De Centrale;4.0
BU00805101;Camminghaburen-Noord;16.0
BU00805102;Camminghaburen-Midden;12.0
